"Story","Title","Result","Date","Stability","Duration (s)"
"Comprar Ingresso Thermas dos Laranjais","Comprar Ingresso Thermas dos Laranjais","SUCCESS","2018-01-29T14:51:05.480-02:00","0.0","106.21"
"Consultar se ha promocao no trajeto Angra dos Reis/Rio de Janeiro","Consulta Prmocoes em Angra dos Reis","SUCCESS","2018-01-29T14:52:55.389-02:00","0.0","68.58"
"Pesquisar e selecionar um hotel cinco estrelas no Rio de Janeiro","Pesquisa no Hotel Urbano por um hotel cinco estrelas","SUCCESS","2018-01-29T14:54:04.561-02:00","0.0","109.2"
"Pesquisar voos de São Paulo para Salvador","Pesquisar voos de São Paulo para Salvador","ERROR","2018-01-29T14:55:54.709-02:00","0.0","87.16"
