"Story","Title","Result","Date","Stability","Duration (s)"
"Comprar Ingresso Thermas dos Laranjais","Comprar Ingresso Thermas dos Laranjais","ERROR","2018-01-31T12:23:52.881-02:00","0.0","42.83"
"Reservar uma diaria um hotel cinco estrelas em São Paulo","Pesquisa no Hotel Urbano por um hotel cinco estrelas e fazer uma diaria","ERROR","2018-01-31T12:19:31.710-02:00","0.0","56.09"
